object_name,object_type,override,value
default-route,Network,no,0.0.0.0/0
ROOT-SDA-ALL,Network,yes,100.124.64.0/18
ROOT-SDA-BORDER-VLAN10,Network,yes,100.124.64.0/30
ROOT-SDA-BORDER-LO0,Host,yes,100.124.64.11
ROOT-SDA-SERVER,Network,yes,100.124.90.0/24
ROOT-SDA-DHCP-SERVERS,NetworkGroup,yes,"100.124.90.0/28,100.124.90.100"
ROOT-SDA-DNS-SERVERS,NetworkGroup,yes,"100.124.90.0/28,100.124.90.100"
ROOT-SDA-USER,Network,yes,100.124.71.0/24
ROOT-SDA-PHONE,Network,yes,100.124.72.0/24
ROOT-SDA-PRINTER,Network,yes,100.124.73.0/24
ROOT-SDA-CCTV,Network,yes,100.124.74.0/24
ROOT-SDA-PARTNER1,Network,yes,100.124.75.0/24
ROOT-SDA-PARTNER2,Network,yes,100.124.76.0/24
ROOT-SDA-GUEST,Network,yes,100.124.77.0/24
ROOT-SDA-AP,Network,yes,100.124.78.0/24
ROOT-SDA-TRANSIT,Network,yes,100.124.79.0/24
ROOT-SDA-LAN-AUTO,Network,yes,100.124.80.0/24
LON-SDA-ALL,Network,no,100.124.64.0/18
LON-SDA-BORDER-LO0,Host,no,100.124.64.11
LON-SDA-DHCP-SERVERS,NetworkGroup,no,"100.124.90.0/28,100.124.90.100"
LON-SDA-DNS-SERVERS,NetworkGroup,no,"100.124.90.0/28,100.124.90.100"
